Name,Address,Price,Rating,Image_URL
Pouch tempat sedotan stainless pouch alat makan sendok garpu sumpit,Jakarta Barat,Rp7.500,4.9,https://s3.bukalapak.com/img/38735517592/s-330-330/5be68333_3040_4eba_93f2_61e6c099c376.jpg.webp
japanese tea coffee cup cangkir ceramic sake teh kopi vintage jepang,Jakarta Barat,Rp36.000,4.9,https://s1.bukalapak.com/img/16271517592/s-330-330/23125242_2742_4c2c_90ac_ec2f830ec3b4.jpg.webp
Sedotan stainless stainless straw stainless steel straw,Jakarta Barat,Rp6.500,5,https://s0.bukalapak.com/img/56868417592/s-330-330/7b849b17_9d26_4270_b911_d77dc24a2b23.jpg.webp
Portable alat makan set sendok garpu sumpit stainless cutlery set,Jakarta Barat,Rp18.000,4.9,https://s1.bukalapak.com/img/64715517592/s-330-330/e748d544_804d_4ee3_9d0a_318b61756749.jpg.webp
Lion Star Jolly Box 100 Kotak Perkakas Sparepart Spare Part Case,Jakarta Barat,Rp10.000,4.9,https://s2.bukalapak.com/img/24214182103/s-330-330/lion_jolly_100_2.jpg.webp
corkscrew wine opener wine screw pembuka botol wine,Jakarta Barat,Rp39.000,5,https://s1.bukalapak.com/img/62414517592/s-330-330/65aa43bb_2d20_42f3_b14f_5d99ecf74f1c.jpg.webp
Sendok sumpit korea set sendok stainless chopstick korea set,Jakarta Barat,Rp29.000,4.9,https://s3.bukalapak.com/img/36035517592/s-330-330/154245331631595_9092e6a5_bac3_4e4e_a4df_d1d2b4d9173a.png.webp
Sumpit stainless korea bulat chopstick korea sumpit warna,Jakarta Barat,Rp12.000,5,https://s2.bukalapak.com/img/28149417592/s-330-330/fd6907ad_a77d_4c63_9162_303119d5131f.jpg.webp
Silicone cover sedotan stainless silikon penutup sedotan stainless,Jakarta Barat,Rp1.600,4.9,https://s1.bukalapak.com/img/63815517592/s-330-330/33050841_69df_4b10_86ce_d24e46405d5a.jpg.webp
japanese coffee tea cup galaxy 200ml gelas cangkir teh kopi latte art,Jakarta Barat,Rp38.000,5,https://s0.bukalapak.com/img/05780517592/s-330-330/5bd4492a_66bb_429e_81b4_c534dd2e544c.jpg.webp
premium wooden japanese chopstick sumpit kayu wufu classic oriental,Jakarta Barat,Rp18.000,5,https://s1.bukalapak.com/img/67265517592/s-330-330/fccbdbb0_2a71_4e51_a28d_3003a5ee4a3b.jpg.webp
Sumpit anak latihan training chopstick sumpit anak lucu,Jakarta Barat,Rp18.000,4.9,https://s4.bukalapak.com/img/49527417592/s-330-330/f9a999a6_4504_45ba_8a75_c8e78bc0d2d4.jpg.webp
small perfume oil funnel corong plastik botol minyak dapur parfum,Jakarta Barat,Rp500,4.9,https://s2.bukalapak.com/img/75327417592/s-330-330/59fb1ecd_17f4_46ae_8f43_a4edc9a507be.jpg.webp
Olive kettle gooseneck 540ml teko kopi leher angsa 18oz stainless,Jakarta Barat,Rp55.000,4.9,https://s0.bukalapak.com/img/56589417592/s-330-330/d2b2aaa7_4edf_4cce_a79c_f2565b0105a3.jpg.webp
Sendok garpu pisau korea western steak pizza spoon knife cutlery set,Jakarta Barat,Rp35.000,4.9,https://s4.bukalapak.com/img/45170517592/s-330-330/a5fe002a_652f_455d_83e3_5e51431640f3.jpg.webp
Muk Kopi Teh serbaguna murah 8 Cm Muk Murah,Kab. Bandung,Rp7.000,5,https://s3.bukalapak.com/img/36954352952/s-330-330/data.jpeg.webp
